year,gdp
1950,237924.28125
1951,251976.5
1952,236968.40625
1953,246968.125
1954,255009.546875
1955,272821.5
1956,280016.5625
1957,290777.5
1958,309981.78125
1959,294969.59375
1960,327019.34375
1961,337660.5625
1962,339820.9375
1963,327342.6875
1964,352784.5
1965,385236.90625
1966,386146.21875
1967,396909.0
1968,417411.03125
1969,455670.46875
1970,470236.90625
1971,487923.25
1972,498060.84375
1973,516708.90625
1974,544641.75
1975,541411.75
1976,541351.3125
1977,575913.5
1978,557362.1875
1979,596473.0
1980,605140.75
1981,572360.5625
1982,554266.875
1983,577060.25
1984,588633.1875
1985,547687.3125
1986,586812.0
1987,601674.75
1988,589925.5
1989,548568.4375
1990,541225.25
1991,598032.5
1992,659656.875
1993,700896.375
1994,741802.4375
1995,720696.3125
1996,760526.75
1997,822213.5625
1998,853870.25
1999,824962.8125
2000,818454.0
2001,782369.6875
2002,697134.5
2003,758740.625
2004,827251.625
2005,900477.125
2006,972939.75
2007,1060578.875
2008,1103609.0
2009,1038291.6875
2010,1143422.75
2011,1212073.375
2012,1199632.5
2013,1228487.5
2014,1197620.25
2015,1230329.125
2016,1204734.25
2017,1238689.875
2018,1206268.25
2019,1182132.5
2020,1065095.75
2021,1176311.0
2022,1238301.125
2023,1218352.25
